County,Regions,Areas
Albany,2,1
Allegany,4,2
Bronx,3,1
Broome,1,2
Cattaraugus,4,2
Cayuga,1,2
Chautauqua,4,2
Chemung,1,1
Chenango,1,2
Clinton,2,2
Columbia,2,2
Cortland,1,2
Delaware,2,2
Dutchess,2,1
Erie,4,1
Essex,2,2
Franklin,2,2
Fulton,2,2
Genesee,4,2
Greene,2,2
Hamilton,2,2
Herkimer,2,1
Jefferson,1,1
Kings,3,1
Lewis,1,2
Livingston,4,1
Madison,1,1
Monroe,4,1
Montgomery,3,2
Nassau,3,1
New York,3,1
Niagara,4,1
Oneida,1,1
Onondaga,1,1
Ontario,1,1
Orange,2,1
Orleans,4,1
Oswego,1,1
Otsego,2,2
Putnam,2,1
Queens,3,1
Rensselaer,2,1
Richmond,3,1
Rockland,2,1
Saratoga,2,1
Schenectady,2,1
Schoharie,2,1
Schuyler,1,2
Seneca,1,2
St Lawrence,2,2
Steuben,1,2
Suffolk,3,1
Sullivan,2,2
Tioga,1,1
Tompkins,1,1
Ulster,2,1
Warren,2,1
Washington,2,1
Wayne,1,1
Westchester,2,1
Wyoming,4,1
Yates,1,2
